"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0010629","GO:0010629","negative regulation of gene expression","22/478","436/18773",0.0504587155963303,1.98171855207094,3.35250253161718,0.00192334747595239,0.320324779631343,0.311232591563205,"tdrd6/macroh2a2/smarca4a/edc3/pias4a/mbd3b/igf2bp2a/nrde2/trip12/cpeb4a/macroh2a1/mbd1b/cnot8/cpeb3/ezh2/xrn1/tbk1/ncbp2/hells/fastk/smarca2/dhx34",22
"GO:0006515","GO:0006515","protein quality control for misfolded or incompletely synthesized proteins","3/478","11/18773",0.272727272727273,10.711106884747,5.2074909649721,0.00232394297567314,0.354788627619432,0.344718208058182,"yme1l1b/yme1l1a/oma1",3
"GO:0006356","GO:0006356","regulation of transcription by RNA polymerase I","3/478","12/18773",0.25,9.81851464435147,4.9392508801926,0.00304037653390146,0.363046301836432,0.352741494142385,"macroh2a2/macroh2a1/ubtf",3
"GO:0051642","GO:0051642","centrosome localization","3/478","12/18773",0.25,9.81851464435147,4.9392508801926,0.00304037653390146,0.363046301836432,0.352741494142385,"pard3ab/ndel1a/nin",3
"GO:0009134","GO:0009134","nucleoside diphosphate catabolic process","6/478","59/18773",0.101694915254237,3.99397205871924,3.72300355043828,0.00380252256395839,0.363046301836432,0.352741494142385,"nudt18/eno2/pkmb/entpd4/entpd5a/insra",6
"GO:0061842","GO:0061842","microtubule organizing center localization","3/478","13/18773",0.230769230769231,9.06324428709366,4.70076013253809,0.00387832999346737,0.363046301836432,0.352741494142385,"pard3ab/ndel1a/nin",3
"GO:0070536","GO:0070536","protein K63-linked deubiquitination","3/478","13/18773",0.230769230769231,9.06324428709366,4.70076013253809,0.00387832999346737,0.363046301836432,0.352741494142385,"usp13/usp20/stambpb",3
"GO:0072576","GO:0072576","liver morphogenesis","3/478","13/18773",0.230769230769231,9.06324428709366,4.70076013253809,0.00387832999346737,0.363046301836432,0.352741494142385,"hnf1ba/ahctf1/arnt2",3
"GO:0048511","GO:0048511","rhythmic process","9/478","123/18773",0.0731707317073171,2.87371160322482,3.36991462228487,0.00424535226320522,0.363046301836432,0.352741494142385,"btbd9/mtnr1aa/nfil3-5/nampt1/ezh2/bmal1a/prkaa2/ncoa2/timeless",9
"GO:0051253","GO:0051253","negative regulation of RNA metabolic process","19/478","382/18773",0.049738219895288,1.95342176170343,3.04310602455814,0.00443876276834404,0.363046301836432,0.352741494142385,"maf1b/smarce1/cbx8a/kctd1/macroh2a2/mier3b/mbd3b/igf2bp2a/nrde2/sap130a/macroh2a1/mbd1b/zbtb25/bmal1a/thrb/tegt/dhx34/zc3h4/scrt2",19
"GO:0072659","GO:0072659","protein localization to plasma membrane","8/478","102/18773",0.0784313725490196,3.08031831979654,3.40525080417765,0.00452834566905297,0.363046301836432,0.352741494142385,"golph3b/fcho2/si:ch211-188c16.1/hycc2/ehd3/tesca/scrib/c2cd5",8
"GO:0072332","GO:0072332","intrinsic apoptotic signaling pathway by p53 class mediator","4/478","27/18773",0.148148148148148,5.81837904850457,4.04978112252249,0.00457681171829759,0.363046301836432,0.352741494142385,"fhit/mdm2/hipk1a/scrt2",4
"GO:0035330","GO:0035330","regulation of hippo signaling","3/478","14/18773",0.214285714285714,8.4158696951584,4.48667157712568,0.00484356418180868,0.363046301836432,0.352741494142385,"zgc:172136/wwc1/dlg5a",3
"GO:0048839","GO:0048839","inner ear development","12/478","199/18773",0.0603015075376884,2.36828493934106,3.13655840254715,0.00511416381365527,0.363046301836432,0.352741494142385,"ahi1/slc26a2/atoh1a/hnf1ba/atoh1b/wwc1/rerea/thrb/epcam/kif3b/disp1/pi4kb",12
"GO:0006886","GO:0006886","intracellular protein transport","19/478","388/18773",0.0489690721649485,1.9232142086874,2.97022630317203,0.00523255092165058,0.363046301836432,0.352741494142385,"clta/gnptab/nup153/sytl4/nup98/ipo8/rab24/ptpn23a/wdr11/arfip2a/cog7/gga3b/pex14/tecpr2/snx27b/cacng8b/vps41/scrib/c2cd5",19
"GO:0032474","GO:0032474","otolith morphogenesis","4/478","28/18773",0.142857142857143,5.61057979677226,3.94634318806059,0.00523386699385557,0.363046301836432,0.352741494142385,"slc26a2/hnf1ba/wwc1/epcam",4
"GO:0043583","GO:0043583","ear development","12/478","201/18773",0.0597014925373134,2.34471991506901,3.09815785711366,0.00553066576495925,0.363046301836432,0.352741494142385,"ahi1/slc26a2/atoh1a/hnf1ba/atoh1b/wwc1/rerea/thrb/epcam/kif3b/disp1/pi4kb",12
"GO:0001841","GO:0001841","neural tube formation","4/478","29/18773",0.137931034482759,5.41711152791805,3.8477712049771,0.00595116033994714,0.363046301836432,0.352741494142385,"htt/nin/scrib/arhgef19",4
"GO:2000779","GO:2000779","regulation of double-strand break repair","4/478","29/18773",0.137931034482759,5.41711152791805,3.8477712049771,0.00595116033994714,0.363046301836432,0.352741494142385,"rnf169/pias4a/rtel1/hdgfl2",4
"GO:0044272","GO:0044272","sulfur compound biosynthetic process","8/478","107/18773",0.0747663551401869,2.93637821139483,3.24682932243629,0.00603360251608393,0.363046301836432,0.352741494142385,"ggt5a/hs6st3b/acss1/pdk1/mtr/acacb/acss2/mat2b",8
"GO:0009261","GO:0009261","ribonucleotide catabolic process","6/478","66/18773",0.0909090909090909,3.57036896158235,3.38118066690506,0.00660974989088111,0.363046301836432,0.352741494142385,"nudt18/eno2/pkmb/pde8a/entpd4/insra",6
"GO:0046434","GO:0046434","organophosphate catabolic process","9/478","132/18773",0.0681818181818182,2.67777672118676,3.12672395464412,0.00670888209633483,0.363046301836432,0.352741494142385,"nudt18/eno2/pkmb/fhit/pde8a/entpd4/sarm1/entpd5a/insra",9
"GO:0035845","GO:0035845","photoreceptor cell outer segment organization","4/478","30/18773",0.133333333333333,5.23654114365411,3.75366505596492,0.00673098636337144,0.363046301836432,0.352741494142385,"ahi1/pard3ab/kif3b/bbs1",4
"GO:0098876","GO:0098876","vesicle-mediated transport to the plasma membrane","7/478","87/18773",0.0804597701149425,3.15998172461886,3.26403302976106,0.00673775887687702,0.363046301836432,0.352741494142385,"golph3b/ptpn23a/hgs/ehd3/gga3b/snx27b/scrib",7
"GO:1990778","GO:1990778","protein localization to cell periphery","8/478","111/18773",0.0720720720720721,2.83056278035358,3.12658355224435,0.00748965335764804,0.377913646675949,0.367186840110911,"golph3b/fcho2/si:ch211-188c16.1/hycc2/ehd3/tesca/scrib/c2cd5",8
"GO:0051668","GO:0051668","localization within membrane","16/478","317/18773",0.0504731861198738,1.98228686826023,2.85103266211873,0.00754734786177654,0.377913646675949,0.367186840110911,"golph3b/ncln/fcho2/zdhhc2/si:ch211-188c16.1/hycc2/ptpn23a/tm9sf3/hgs/ehd3/gga3b/tesca/snx27b/cacng8b/scrib/c2cd5",16
"GO:0009132","GO:0009132","nucleoside diphosphate metabolic process","6/478","68/18773",0.0882352941176471,3.46535810977111,3.29199090454181,0.00763253544050771,0.377913646675949,0.367186840110911,"nudt18/eno2/pkmb/entpd4/entpd5a/insra",6
"GO:0001838","GO:0001838","embryonic epithelial tube formation","4/478","32/18773",0.125,4.90925732217573,3.57746901764262,0.0084869483392356,0.401024939542235,0.38964213558143,"htt/nin/scrib/arhgef19",4
"GO:0009191","GO:0009191","ribonucleoside diphosphate catabolic process","5/478","50/18773",0.1,3.92740585774059,3.35029643492495,0.00865887937948668,0.401024939542235,0.38964213558143,"nudt18/eno2/pkmb/entpd4/insra",5
"GO:0035384","GO:0035384","thioester biosynthetic process","4/478","33/18773",0.121212121212121,4.76049194877647,3.49478009946095,0.00946719656619567,0.401024939542235,0.38964213558143,"acss1/pdk1/acacb/acss2",4
"GO:0071616","GO:0071616","acyl-CoA biosynthetic process","4/478","33/18773",0.121212121212121,4.76049194877647,3.49478009946095,0.00946719656619567,0.401024939542235,0.38964213558143,"acss1/pdk1/acacb/acss2",4
"GO:0006195","GO:0006195","purine nucleotide catabolic process","6/478","72/18773",0.0833333333333333,3.27283821478382,3.12324008639365,0.0100123335313169,0.401024939542235,0.38964213558143,"nudt18/eno2/pkmb/pde8a/sarm1/insra",6
"GO:0006085","GO:0006085","acetyl-CoA biosynthetic process","3/478","18/18773",0.166666666666667,6.54567642956764,3.8048300147235,0.0100694035037898,0.401024939542235,0.38964213558143,"acss1/pdk1/acss2",3
"GO:0008053","GO:0008053","mitochondrial fusion","3/478","18/18773",0.166666666666667,6.54567642956764,3.8048300147235,0.0100694035037898,0.401024939542235,0.38964213558143,"mfn1b/zgc:153993/oma1",3
"GO:0010569","GO:0010569","regulation of double-strand break repair via homologous recombination","3/478","18/18773",0.166666666666667,6.54567642956764,3.8048300147235,0.0100694035037898,0.401024939542235,0.38964213558143,"pias4a/rtel1/hdgfl2",3
"GO:0022612","GO:0022612","gland morphogenesis","3/478","18/18773",0.166666666666667,6.54567642956764,3.8048300147235,0.0100694035037898,0.401024939542235,0.38964213558143,"hnf1ba/ahctf1/arnt2",3
"GO:0002833","GO:0002833","positive regulation of response to biotic stimulus","6/478","73/18773",0.0821917808219178,3.2280048145813,3.08290232973603,0.0106812782433021,0.407668786286029,0.396097401522452,"ifih1/tlr18/tlr22/sarm1/tbk1/trim13",6
"GO:0045089","GO:0045089","positive regulation of innate immune response","6/478","73/18773",0.0821917808219178,3.2280048145813,3.08290232973603,0.0106812782433021,0.407668786286029,0.396097401522452,"ifih1/tlr18/tlr22/sarm1/tbk1/trim13",6
"GO:0006753","GO:0006753","nucleoside phosphate metabolic process","18/478","389/18773",0.0462724935732648,1.81730862311904,2.63295774977379,0.0112181294891176,0.41933281593812,0.407430356097081,"nudt18/eno2/rrm2b/acss1/pkmb/pdk1/fhit/pde8a/zgc:136858/nampt1/entpd4/sarm1/acacb/gfus.1/entpd5a/insra/guk1a/acss2",18
"GO:0046777","GO:0046777","protein autophosphorylation","3/478","19/18773",0.157894736842105,6.20116714380092,3.66634786962524,0.0117348518011493,0.41933281593812,0.407430356097081,"melk/insra/dyrk1b",3
"GO:0001764","GO:0001764","neuron migration","5/478","54/18773",0.0925925925925926,3.63648690531536,3.13605875399064,0.0119024598410383,0.41933281593812,0.407430356097081,"abi1b/met/dpysl2b/scrib/cntn2",5
"GO:0032456","GO:0032456","endocytic recycling","5/478","54/18773",0.0925925925925926,3.63648690531536,3.13605875399064,0.0119024598410383,0.41933281593812,0.407430356097081,"ptpn23a/hgs/ehd3/snx27b/scrib",5
"GO:0045088","GO:0045088","regulation of innate immune response","7/478","99/18773",0.0707070707070707,2.77695363678627,2.8653523263132,0.0132653471917428,0.458530491608922,0.445515433986835,"pias4a/ifih1/tlr18/tlr22/sarm1/tbk1/trim13",7
"GO:1904888","GO:1904888","cranial skeletal system development","13/478","256/18773",0.05078125,1.99438578713389,2.58936093598617,0.0144610196592722,0.490603481773827,0.476678055435269,"taok2a/bcl9/pthlha/usp20/usp18/gnptab/smarca4a/pard3ab/cdkl5/mapk3/htt/zyg11/disp1",13
"GO:0009185","GO:0009185","ribonucleoside diphosphate metabolic process","5/478","57/18773",0.087719298245614,3.44509285766718,2.98833499578282,0.0148168833915432,0.493536915878313,0.479528226126308,"nudt18/eno2/pkmb/entpd4/insra",5
"GO:0045944","GO:0045944","positive regulation of transcription by RNA polymerase II","16/478","344/18773",0.0465116279069767,1.82670039894911,2.50137898950612,0.0155289592360679,0.50801880929422,0.493599061432157,"nr2c2/bcl9/smarca4a/med13b/atoh1a/mrtfba/chuk/atoh1b/foxn4/thrb/cdk7/hells/tet2/smarca2/ncoa2/ncoa6",16
"GO:0002218","GO:0002218","activation of innate immune response","5/478","59/18773",0.0847457627118644,3.3283100489327,2.89525299792066,0.0170043279339257,0.546525066227227,0.531012346006804,"ifih1/tlr18/tlr22/sarm1/tbk1",5
"GO:0045995","GO:0045995","regulation of embryonic development","3/478","22/18773",0.136363636363636,5.35555344237352,3.30404143120565,0.0176304220551634,0.55687815870792,0.541071573417084,"nr2c2/gpr101/trip12",3
"GO:0072666","GO:0072666","establishment of protein localization to vacuole","4/478","40/18773",0.1,3.92740585774059,2.99579630504367,0.0184033482330142,0.560864578625634,0.544944841677745,"gnptab/ptpn23a/cacng8b/vps41",4
"GO:0032446","GO:0032446","protein modification by small protein conjugation","20/478","472/18773",0.0423728813559322,1.66415502446635,2.36214234726034,0.018769730396387,0.560864578625634,0.544944841677745,"rnf169/anapc2/ankib1a/ctu2/wdsub1/ankib1b/pias4a/ube2q1/ube3a/trip12/cdc34a/med8/rab40b/asb2a.1/ube2j1/tulp4a/fbxl5/ppil2/trim13/hace1",20
"GO:0031349","GO:0031349","positive regulation of defense response","6/478","83/18773",0.072289156626506,2.83908857186066,2.71418880802844,0.0191928550650222,0.560864578625634,0.544944841677745,"ifih1/tlr18/tlr22/sarm1/tbk1/trim13",6
"GO:0002831","GO:0002831","regulation of response to biotic stimulus","7/478","107/18773",0.0654205607476635,2.56933093497048,2.63138144515589,0.0195832910013778,0.560864578625634,0.544944841677745,"pias4a/ifih1/tlr18/tlr22/sarm1/tbk1/trim13",7
"GO:0007215","GO:0007215","glutamate receptor signaling pathway","3/478","23/18773",0.130434782608696,5.12270329270511,3.19777848551313,0.0198996711848615,0.560864578625634,0.544944841677745,"grin1b/cpeb4a/grm1b",3
"GO:0032011","GO:0032011","ARF protein signal transduction","3/478","23/18773",0.130434782608696,5.12270329270511,3.19777848551313,0.0198996711848615,0.560864578625634,0.544944841677745,"git2b/arfgef1/arfgef2",3
"GO:0032012","GO:0032012","regulation of ARF protein signal transduction","3/478","23/18773",0.130434782608696,5.12270329270511,3.19777848551313,0.0198996711848615,0.560864578625634,0.544944841677745,"git2b/arfgef1/arfgef2",3
"GO:0072523","GO:0072523","purine-containing compound catabolic process","6/478","85/18773",0.0705882352941176,2.77228648781688,2.64706734614198,0.0213266213923962,0.575123938391784,0.558799459791144,"nudt18/eno2/pkmb/pde8a/sarm1/insra",6
"GO:0036465","GO:0036465","synaptic vesicle recycling","4/478","42/18773",0.0952380952380952,3.74038653118151,2.8738162869681,0.021666879054799,0.575123938391784,0.558799459791144,"fcho2/nlgn2a/nlgn3a/git2b",4
"GO:0048840","GO:0048840","otolith development","5/478","63/18773",0.0793650793650794,3.11698877598459,2.72053896568293,0.0219981013387256,0.575123938391784,0.558799459791144,"slc26a2/hnf1ba/atoh1b/wwc1/epcam",5
"GO:0072175","GO:0072175","epithelial tube formation","5/478","63/18773",0.0793650793650794,3.11698877598459,2.72053896568293,0.0219981013387256,0.575123938391784,0.558799459791144,"hnf1ba/htt/nin/scrib/arhgef19",5
"GO:0072594","GO:0072594","establishment of protein localization to organelle","10/478","189/18773",0.0529100529100529,2.07799251732306,2.40757632568821,0.0232423451047196,0.575123938391784,0.558799459791144,"spcs3/gnptab/nup153/nup98/ipo8/ptpn23a/pex14/cacng8b/vps41/scrib",10
"GO:0006282","GO:0006282","regulation of DNA repair","4/478","43/18773",0.0930232558139535,3.65340079789822,2.81560163462687,0.0234228117815153,0.575123938391784,0.558799459791144,"rnf169/pias4a/rtel1/hdgfl2",4
"GO:0072331","GO:0072331","signal transduction by p53 class mediator","4/478","43/18773",0.0930232558139535,3.65340079789822,2.81560163462687,0.0234228117815153,0.575123938391784,0.558799459791144,"fhit/mdm2/hipk1a/scrt2",4
"GO:0055086","GO:0055086","nucleobase-containing small molecule metabolic process","18/478","423/18773",0.0425531914893617,1.67123653520876,2.25699579810874,0.024018405193796,0.575123938391784,0.558799459791144,"nudt18/eno2/rrm2b/acss1/pkmb/pdk1/fhit/pde8a/zgc:136858/nampt1/entpd4/sarm1/acacb/gfus.1/entpd5a/insra/guk1a/acss2",18
"GO:0009154","GO:0009154","purine ribonucleotide catabolic process","5/478","65/18773",0.0769230769230769,3.02108142903122,2.63833429870344,0.0248170118327931,0.575123938391784,0.558799459791144,"nudt18/eno2/pkmb/pde8a/insra",5
"GO:0043065","GO:0043065","positive regulation of apoptotic process","8/478","138/18773",0.0579710144927536,2.27675701898005,2.43324653101757,0.0250546477293124,0.575123938391784,0.558799459791144,"ctsl.1/casp20/map3k10/zgc:153993/tnfa/scrib/oma1/melk",8
"GO:0043068","GO:0043068","positive regulation of programmed cell death","8/478","138/18773",0.0579710144927536,2.27675701898005,2.43324653101757,0.0250546477293124,0.575123938391784,0.558799459791144,"ctsl.1/casp20/map3k10/zgc:153993/tnfa/scrib/oma1/melk",8
"GO:0006689","GO:0006689","ganglioside catabolic process","2/478","10/18773",0.2,7.85481171548117,3.5046722124385,0.0254285147433048,0.575123938391784,0.558799459791144,"hexa/neu1",2
"GO:0021513","GO:0021513","spinal cord dorsal/ventral patterning","2/478","10/18773",0.2,7.85481171548117,3.5046722124385,0.0254285147433048,0.575123938391784,0.558799459791144,"tcf7/foxn4",2
"GO:0036372","GO:0036372","opsin transport","2/478","10/18773",0.2,7.85481171548117,3.5046722124385,0.0254285147433048,0.575123938391784,0.558799459791144,"dync1li1/kif3b",2
"GO:0044539","GO:0044539","long-chain fatty acid import into cell","2/478","10/18773",0.2,7.85481171548117,3.5046722124385,0.0254285147433048,0.575123938391784,0.558799459791144,"cd36/slc27a4",2
"GO:0097475","GO:0097475","motor neuron migration","2/478","10/18773",0.2,7.85481171548117,3.5046722124385,0.0254285147433048,0.575123938391784,0.558799459791144,"dpysl2b/scrib",2
"GO:0042461","GO:0042461","photoreceptor cell development","6/478","89/18773",0.0674157303370786,2.64768934229702,2.51847950366861,0.0260630626905177,0.582286961573518,0.565759165720994,"rpgrip1l/ahi1/pard3ab/thrb/kif3b/bbs1",6
"GO:0016567","GO:0016567","protein ubiquitination","18/478","429/18773",0.041958041958042,1.64786259765339,2.19415623053081,0.0271229903783604,0.583241321810432,0.566686437130223,"rnf169/anapc2/ankib1a/wdsub1/ankib1b/ube2q1/ube3a/trip12/cdc34a/med8/rab40b/asb2a.1/ube2j1/tulp4a/fbxl5/ppil2/trim13/hace1",18
"GO:2001234","GO:2001234","negative regulation of apoptotic signaling pathway","4/478","45/18773",0.0888888888888889,3.49102742910274,2.70422037307234,0.0271871796455323,0.583241321810432,0.566686437130223,"snx13/mdm2/tegt/scrt2",4
"GO:0080135","GO:0080135","regulation of cellular response to stress","7/478","115/18773",0.0608695652173913,2.39059486992905,2.41779799366571,0.0277519237056216,0.583241321810432,0.566686437130223,"rnf169/pias4a/rtel1/hdgfl2/sarm1/ptpn1/scrt2",7
"GO:0051640","GO:0051640","organelle localization","13/478","280/18773",0.0464285714285714,1.82343843395099,2.24393089877795,0.0277678231762446,0.583241321810432,0.566686437130223,"mfn1b/pard3ab/unc13a/nup98/ndel1a/wdr11/zgc:153240/lsg1/scrib/arcn1b/borcs6/ska1/bbs1",13
"GO:0010975","GO:0010975","regulation of neuron projection development","8/478","141/18773",0.0567375886524823,2.22831538027835,2.36642487925578,0.0280202077437214,0.583241321810432,0.566686437130223,"ntrk2b/pard3ab/cdkl5/ndel1a/lzts1/sarm1/dpysl2b/cntn2",8
"GO:0097190","GO:0097190","apoptotic signaling pathway","9/478","168/18773",0.0535714285714286,2.1039674237896,2.32326674561603,0.0283736236643821,0.583241321810432,0.566686437130223,"ctsl.1/fhit/snx13/zgc:153993/tnfa/mdm2/hipk1a/tegt/scrt2",9
"GO:2001233","GO:2001233","regulation of apoptotic signaling pathway","6/478","91/18773",0.0659340659340659,2.58949836774105,2.45681306367832,0.0286738188920628,0.583241321810432,0.566686437130223,"ctsl.1/snx13/tnfa/mdm2/tegt/scrt2",6
"GO:0016331","GO:0016331","morphogenesis of embryonic epithelium","5/478","68/18773",0.0735294117647059,2.88779842480925,2.52077587408079,0.0294631128857004,0.583241321810432,0.566686437130223,"htt/nin/rerea/scrib/arhgef19",5
"GO:0006084","GO:0006084","acetyl-CoA metabolic process","3/478","27/18773",0.111111111111111,4.36378428637843,2.82721429054882,0.0305076710774765,0.583241321810432,0.566686437130223,"acss1/pdk1/acss2",3
"GO:0042149","GO:0042149","cellular response to glucose starvation","2/478","11/18773",0.181818181818182,7.1407379231647,3.29291373606117,0.0305628640250008,0.583241321810432,0.566686437130223,"cpeb4a/prkaa2",2
"GO:0042551","GO:0042551","neuron maturation","2/478","11/18773",0.181818181818182,7.1407379231647,3.29291373606117,0.0305628640250008,0.583241321810432,0.566686437130223,"ndrg4/srrm4",2
"GO:0045911","GO:0045911","positive regulation of DNA recombination","2/478","11/18773",0.181818181818182,7.1407379231647,3.29291373606117,0.0305628640250008,0.583241321810432,0.566686437130223,"pias4a/hdgfl2",2
"GO:0099068","GO:0099068","postsynapse assembly","2/478","11/18773",0.181818181818182,7.1407379231647,3.29291373606117,0.0305628640250008,0.583241321810432,0.566686437130223,"nlgn2a/nlgn3a",2
"GO:2000765","GO:2000765","regulation of cytoplasmic translation","2/478","11/18773",0.181818181818182,7.1407379231647,3.29291373606117,0.0305628640250008,0.583241321810432,0.566686437130223,"cpeb4a/cpeb3",2
"GO:0045892","GO:0045892","negative regulation of DNA-templated transcription","15/478","346/18773",0.0433526011560694,1.70263259728638,2.13226923004089,0.0323573454667409,0.60488425403132,0.587715050314274,"maf1b/smarce1/cbx8a/kctd1/macroh2a2/mier3b/mbd3b/sap130a/macroh2a1/mbd1b/zbtb25/bmal1a/thrb/zc3h4/scrt2",15
"GO:1902679","GO:1902679","negative regulation of RNA biosynthetic process","15/478","346/18773",0.0433526011560694,1.70263259728638,2.13226923004089,0.0323573454667409,0.60488425403132,0.587715050314274,"maf1b/smarce1/cbx8a/kctd1/macroh2a2/mier3b/mbd3b/sap130a/macroh2a1/mbd1b/zbtb25/bmal1a/thrb/zc3h4/scrt2",15
"GO:0035148","GO:0035148","tube formation","5/478","70/18773",0.0714285714285714,2.80528989838613,2.44592620103063,0.0328455587657366,0.60780872382656,0.590556511141526,"hnf1ba/htt/nin/scrib/arhgef19",5
"GO:0072665","GO:0072665","protein localization to vacuole","4/478","48/18773",0.0833333333333333,3.27283821478382,2.54848007545336,0.0334743594969404,0.61162012985258,0.594259733153707,"gnptab/ptpn23a/cacng8b/vps41",4
"GO:0016071","GO:0016071","mRNA metabolic process","19/478","474/18773",0.040084388185654,1.57427660964285,2.0469141782024,0.0352804890502085,0.61162012985258,0.594259733153707,"khdrbs1b/srsf5b/edc3/syf2/igf2bp2a/ptbp2b/cnot8/xrn1/rprd2b/sf3a3/cmtr1/ncbp2/fastk/rnpc3/srrm4/dhx34/srsf7a/sf3b3/gpkow",19
"GO:0009137","GO:0009137","purine nucleoside diphosphate catabolic process","4/478","49/18773",0.0816326530612245,3.20604559815558,2.49928753310749,0.0357427077308866,0.61162012985258,0.594259733153707,"nudt18/eno2/pkmb/insra",4
"GO:0009181","GO:0009181","purine ribonucleoside diphosphate catabolic process","4/478","49/18773",0.0816326530612245,3.20604559815558,2.49928753310749,0.0357427077308866,0.61162012985258,0.594259733153707,"nudt18/eno2/pkmb/insra",4
"GO:0006898","GO:0006898","receptor-mediated endocytosis","6/478","96/18773",0.0625,2.45462866108787,2.309602344222,0.0359363628242416,0.61162012985258,0.594259733153707,"clta/cd36/fcho2/hgs/gak/cacng8b",6
"GO:0032475","GO:0032475","otolith formation","2/478","12/18773",0.166666666666667,6.54567642956764,3.10613388883472,0.0360673615232206,0.61162012985258,0.594259733153707,"wwc1/epcam",2
"GO:0032479","GO:0032479","regulation of type I interferon production","2/478","12/18773",0.166666666666667,6.54567642956764,3.10613388883472,0.0360673615232206,0.61162012985258,0.594259733153707,"pias4a/tbk1",2
"GO:0032606","GO:0032606","type I interferon production","2/478","12/18773",0.166666666666667,6.54567642956764,3.10613388883472,0.0360673615232206,0.61162012985258,0.594259733153707,"pias4a/tbk1",2
"GO:0140354","GO:0140354","lipid import into cell","2/478","12/18773",0.166666666666667,6.54567642956764,3.10613388883472,0.0360673615232206,0.61162012985258,0.594259733153707,"cd36/slc27a4",2
"GO:0000209","GO:0000209","protein polyubiquitination","7/478","122/18773",0.0573770491803279,2.25342959050689,2.24507995126368,0.0365754795983317,0.61162012985258,0.594259733153707,"anapc2/ube2q1/ube3a/trip12/cdc34a/ube2j1/hace1",7
"GO:0002224","GO:0002224","toll-like receptor signaling pathway","3/478","29/18773",0.103448275862069,4.06283364593854,2.66805196880145,0.0367239160937684,0.61162012985258,0.594259733153707,"tlr18/tlr22/sarm1",3
